+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------+----------+-----+-------------------------------------+---------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-43ff7415 |  master  | cnt |                 qid                 |  diff   | pct_diff |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 32768      | 498.39                     | 3151.18  | 4   | 38897,39086,38893,39082             | 2652.79 | 532.27   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 262144     | 1779.05                    | 4421.59  | 6   | 37217,37406,37595,37213,37402,37591 | 2642.54 | 148.54   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 2262144    | 6018.98                    | 8659.76  | 6   | 36139,36328,36517,36135,36324,36513 | 2640.78 | 43.87    |
| 5   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 565536     | 3948.8                     | 6575.32  | 6   | 10484,10659,10834,10480,10655,10830 | 2626.52 | 66.51    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 2012144    | 5553.27                    | 8177.07  | 6   | 36132,36321,36510,36128,36317,36506 | 2623.8  | 47.25    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 1762144    | 5058.92                    | 7659.35  | 6   | 36125,36314,36503,36121,36310,36499 | 2600.43 | 51.4     |
| 5   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 315536     | 2374.15                    | 4971.14  | 6   | 10456,10631,10806,10452,10627,10802 | 2596.99 | 109.39   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 1262144    | 3921.84                    | 6518.48  | 6   | 36111,36300,36489,36107,36296,36485 | 2596.64 | 66.21    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 131072     | 1337.26                    | 3929.57  | 6   | 37210,37399,37588,37206,37395,37584 | 2592.31 | 193.85   |
| 5   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 253036     | 1888.89                    | 4473.13  | 6   | 9399,9574,9749,9395,9570,9745       | 2584.24 | 136.81   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 762144     | 2671.95                    | 5255.02  | 6   | 36097,36286,36475,36093,36282,36471 | 2583.07 | 96.67    |
