+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------------+----------------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-munro-43ff7415 | patched-geoghegan-43ff7415 | cnt |                 qid                 |   diff   | pct_diff |
| 39  | 100        | 10000000 | 5000000   | 93458    | 4       | 32    | 2    | worker   | 12        | 16  | decrease  | asc         | asc        | 3024288    | 1518.62                          | 2680.02                    | 6   | 84510,84706,84902,84509,84705,84901 | 1161.4   | 76.48    |
| 37  | 100        | 10000000 | 5000000   | 93458    | 4       | 32    | 2    | worker   | 12        | 16  | increase  | asc         | desc       | 2524288    | 1982.9                           | 3136.22                    | 6   | 80387,80583,80779,80386,80582,80778 | 1153.32  | 58.16    |
| 31  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | asc         | asc        | 4048576    | 1960.05                          | 3110.82                    | 6   | 66527,66730,66933,66526,66729,66932 | 1150.77  | 58.71    |
| 38  | 100        | 10000000 | 5000000   | 93458    | 4       | 32    | 2    | io_uring | 12        | 16  | increase  | desc        | desc       | 2524288    | 1730.58                          | 2873.64                    | 6   | 83915,84111,84307,83914,84110,84306 | 1143.06  | 66.05    |
| 39  | 100        | 10000000 | 5000000   | 93458    | 4       | 32    | 2    | io_uring | 12        | 16  | decrease  | asc         | asc        | 4024288    | 2930.25                          | 4072.02                    | 6   | 85700,85896,86092,85699,85895,86091 | 1141.77  | 38.96    |
| 37  | 100        | 10000000 | 5000000   | 93458    | 4       | 32    | 2    | io_uring | 12        | 16  | increase  | asc         | desc       | 3524288    | 3248.53                          | 4377.21                    | 6   | 81577,81773,81969,81576,81772,81968 | 1128.68  | 34.74    |
| 40  | 100        | 10000000 | 5000000   | 93458    | 4       | 32    | 2    | worker   | 12        | 16  | decrease  | desc        | asc        | 4024288    | 3273.92                          | 4396.09                    | 6   | 86876,87072,87268,86875,87071,87267 | 1122.17  | 34.28    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | desc       | 1131072    | 6317.48                          | 7412.06                    | 6   | 727,909,1091,726,908,1090           | 1094.58  | 17.33    |
| 38  | 100        | 10000000 | 5000000   | 93458    | 4       | 32    | 2    | worker   | 12        | 16  | increase  | desc        | desc       | 2524288    | 1679.78                          | 2761.74                    | 6   | 82739,82935,83131,82738,82934,83130 | 1081.96  | 64.41    |
| 10  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | io_uring | 12        | 16  | increase  | desc        | desc       | 6048576    | 2765.4                           | 3830.28                    | 6   | 21580,21783,21986,21579,21782,21985 | 1064.88  | 38.51    |
| 40  | 100        | 10000000 | 5000000   | 93458    | 4       | 32    | 2    | worker   | 12        | 16  | decrease  | desc        | asc        | 2524288    | 1711.78                          | 2765.5                     | 6   | 86855,87051,87247,86854,87050,87246 | 1053.72  | 61.56    |
