+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------------+------------------------------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-munro-43ff7415 | patched-geoghegan-2-munro-3ded1b78 | cnt |                 qid                 | pct_diff |
| 16  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 256        | 3.62                             | 5.16                               | 6   | 35447,35636,35825,35445,35634,35823 | 42.54    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 4096       | 6.26                             | 8.92                               | 6   | 7188,7370,7552,7186,7368,7550       | 42.49    |
| 16  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | worker   | 12        | 16  | decrease  | desc        | desc       | 512        | 4.49                             | 6.38                               | 6   | 34320,34509,34698,34318,34507,34696 | 42.09    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 2048       | 3.9                              | 5.53                               | 6   | 7181,7363,7545,7179,7361,7543       | 41.79    |
| 7   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 256        | 3.93                             | 5.57                               | 6   | 14048,14223,14398,14046,14221,14396 | 41.73    |
| 11  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | io_uring | 12        | 16  | decrease  | asc         | desc       | 2          | 0.24                             | 0.34                               | 6   | 23848,24051,24254,23846,24049,24252 | 41.67    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | asc         | asc        | 256072     | 311.27                           | 439.87                             | 6   | 1224,1406,1588,1222,1404,1586       | 41.31    |
| 9   | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 16384      | 8.84                             | 12.48                              | 6   | 17849,18052,18255,17847,18050,18253 | 41.18    |
| 8   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 128        | 3.12                             | 4.39                               | 6   | 16666,16841,17016,16664,16839,17014 | 40.71    |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | desc        | asc        | 1024       | 3.57                             | 5.01                               | 6   | 2260,2442,2624,2258,2440,2622       | 40.34    |
| 12  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | io_uring | 12        | 16  | decrease  | desc        | asc        | 131072     | 61.02                            | 84.64                              | 6   | 25787,25990,26193,25785,25988,26191 | 38.71    |
| 11  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | io_uring | 12        | 16  | decrease  | asc         | asc        | 32768      | 13.41                            | 18.59                              | 6   | 23337,23540,23743,23335,23538,23741 | 38.63    |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | asc         | asc        | 64         | 1.46                             | 2.02                               | 6   | 4416,4598,4780,4414,4596,4778       | 38.36    |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | desc        | asc        | 131072     | 249.18                           | 343.83                             | 6   | 2309,2491,2673,2307,2489,2671       | 37.98    |
| 14  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 256        | 3.48                             | 4.77                               | 6   | 29210,29399,29588,29208,29397,29586 | 37.07    |
| 9   | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 4096       | 2.67                             | 3.65                               | 6   | 17835,18038,18241,17833,18036,18239 | 36.7     |
| 5   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 32         | 1.88                             | 2.57                               | 6   | 8777,8952,9127,8775,8950,9125       | 36.7     |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | desc       | 256        | 2.75                             | 3.73                               | 6   | 608,790,972,606,788,970             | 35.64    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | asc        | 756072     | 933.63                           | 1264.1                             | 6   | 160,342,524,158,340,522             | 35.4     |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 1024       | 2.79                             | 3.73                               | 6   | 7174,7356,7538,7172,7354,7536       | 33.69    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | desc       | 1024       | 6.53                             | 8.73                               | 6   | 622,804,986,620,802,984             | 33.69    |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | asc         | desc       | 4096       | 10.32                            | 13.78                              | 6   | 5004,5186,5368,5002,5184,5366       | 33.53    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 64         | 9.31                             | 12.43                              | 6   | 37701,37890,38079,37699,37888,38077 | 33.51    |
| 9   | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 8          | 0.3                              | 0.4                                | 6   | 18381,18584,18787,18379,18582,18785 | 33.33    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | asc        | 8192       | 10.38                            | 13.8                               | 6   | 97,279,461,95,277,459               | 32.95    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | asc        | 2048       | 3.86                             | 5.13                               | 6   | 83,265,447,81,263,445               | 32.9     |
| 6   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 32         | 2.62                             | 3.48                               | 6   | 12452,12627,12802,12450,12625,12800 | 32.82    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | desc       | 64         | 1.5                              | 1.99                               | 6   | 594,776,958,592,774,956             | 32.67    |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | desc        | asc        | 16384      | 35.95                            | 47.65                              | 6   | 3380,3562,3744,3378,3560,3742       | 32.55    |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 256        | 8.76                             | 11.6                               | 4   | 38849,39038,38847,39036             | 32.42    |
| 10  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | worker   | 12        | 16  | increase  | desc        | desc       | 32         | 0.25                             | 0.33                               | 6   | 20222,20425,20628,20220,20423,20626 | 32.0     |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 128        | 10.82                            | 14.24                              | 6   | 37141,37330,37519,37139,37328,37517 | 31.61    |
| 12  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 6048576    | 493.73                           | 649.33                             | 6   | 25234,25437,25640,25232,25435,25638 | 31.52    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | asc         | desc       | 128        | 1.73                             | 2.27                               | 6   | 1693,1875,2057,1691,1873,2055       | 31.21    |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | desc        | asc        | 1131072    | 2110.31                          | 2760.79                            | 6   | 2365,2547,2729,2363,2545,2727       | 30.82    |
| 5   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 128        | 3.31                             | 4.32                               | 6   | 9841,10016,10191,9839,10014,10189   | 30.51    |
| 13  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1          | 0.23                             | 0.3                                | 6   | 27453,27642,27831,27451,27640,27829 | 30.43    |
| 16  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 32         | 1.54                             | 2.0                                | 6   | 34859,35048,35237,34857,35046,35235 | 29.87    |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | asc         | desc       | 64         | 1.48                             | 1.92                               | 6   | 4962,5144,5326,4960,5142,5324       | 29.73    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | desc        | desc       | 512        | 1.99                             | 2.58                               | 6   | 8259,8441,8623,8257,8439,8621       | 29.65    |
| 16  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 256        | 3.46                             | 4.48                               | 6   | 34880,35069,35258,34878,35067,35256 | 29.48    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | asc        | 32768      | 35.25                            | 45.46                              | 6   | 111,293,475,109,291,473             | 28.96    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | asc        | 1131072    | 1073.06                          | 1383.03                            | 6   | 181,363,545,179,361,543             | 28.89    |
| 6   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 32         | 1.91                             | 2.46                               | 6   | 11402,11577,11752,11400,11575,11750 | 28.8     |
| 16  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 512        | 4.67                             | 6.01                               | 6   | 35454,35643,35832,35452,35641,35830 | 28.69    |
| 15  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | io_uring | 12        | 16  | decrease  | asc         | asc        | 512        | 4.95                             | 6.36                               | 6   | 32619,32808,32997,32617,32806,32995 | 28.48    |
| 14  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 64         | 2.62                             | 3.36                               | 6   | 29763,29952,30141,29761,29950,30139 | 28.24    |
| 13  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 32         | 1.32                             | 1.69                               | 6   | 28055,28244,28433,28053,28242,28431 | 28.03    |
| 11  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | worker   | 12        | 16  | decrease  | asc         | asc        | 4096       | 1.61                             | 2.06                               | 6   | 22098,22301,22504,22096,22299,22502 | 27.95    |
| 16  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 1024       | 8.81                             | 11.27                              | 6   | 34894,35083,35272,34892,35081,35270 | 27.92    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 32         | 3.84                             | 4.91                               | 6   | 36560,36749,36938,36558,36747,36936 | 27.86    |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 1          | 0.36                             | 0.46                               | 4   | 38793,38982,38791,38980             | 27.78    |
| 15  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | worker   | 12        | 16  | decrease  | asc         | desc       | 1          | 0.26                             | 0.33                               | 6   | 31989,32178,32367,31987,32176,32365 | 26.92    |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | asc         | asc        | 16         | 1.12                             | 1.42                               | 6   | 4402,4584,4766,4400,4582,4764       | 26.79    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | asc        | 16         | 1.02                             | 1.29                               | 6   | 34,216,398,32,214,396               | 26.47    |
| 5   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 32         | 2.95                             | 3.73                               | 6   | 10352,10527,10702,10350,10525,10700 | 26.44    |
