+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+------------------------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz  | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values |  master  | patched-geoghegan-2-3ded1b78 | cnt |                 qid                 | pct_diff |
| 10  | 100        | 10000000 | 312500    | 93458    | 64     | 2     | 32   | worker   | 12        | 16  | increase  | desc        | asc        | 16         | 2.68     | 3.27                         | 6   | 18845,19013,19181,18847,19015,19183 | 22.01    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 16384      | 9.32     | 11.37                        | 6   | 24963,25166,25369,24965,25168,25371 | 22.0     |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 1262144    | 3678.68  | 4485.02                      | 6   | 35897,36086,36275,35899,36088,36277 | 21.92    |
| 10  | 100        | 10000000 | 312500    | 93458    | 64     | 2     | 32   | worker   | 12        | 16  | increase  | desc        | asc        | 4          | 1.74     | 2.12                         | 6   | 18831,18999,19167,18833,19001,19169 | 21.84    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 1512144    | 4470.68  | 5438.31                      | 6   | 35904,36093,36282,35906,36095,36284 | 21.64    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | desc       | 32768      | 264.64   | 321.6                        | 6   | 13231,13406,13581,13233,13408,13583 | 21.52    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | desc       | 8192       | 70.72    | 85.85                        | 6   | 13217,13392,13567,13219,13394,13569 | 21.39    |
| 15  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | asc         | asc        | 256        | 2.77     | 3.36                         | 6   | 29793,29996,30199,29795,29998,30201 | 21.3     |
| 22  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 1          | 0.99     | 1.2                          | 6   | 45949,46138,46327,45951,46140,46329 | 21.21    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 2262144    | 6672.87  | 8079.96                      | 6   | 43296,43485,43674,43298,43487,43676 | 21.09    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 16384      | 9.16     | 11.08                        | 6   | 32880,33083,33286,32882,33085,33288 | 20.96    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 128        | 1.91     | 2.31                         | 6   | 26132,26335,26538,26134,26337,26540 | 20.94    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 32768      | 115.46   | 139.64                       | 6   | 35848,36037,36226,35850,36039,36228 | 20.94    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 8          | 1.11     | 1.34                         | 6   | 52774,52963,53152,52776,52965,53154 | 20.72    |
| 11  | 100        | 10000000 | 312500    | 93458    | 64     | 2     | 32   | worker   | 12        | 16  | decrease  | asc         | desc       | 1          | 0.97     | 1.17                         | 6   | 21337,21505,21673,21339,21507,21675 | 20.62    |
| 18  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 2          | 1.56     | 1.88                         | 6   | 37451,37640,37829,37453,37642,37831 | 20.51    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | desc       | 1024       | 10.34    | 12.46                        | 6   | 13196,13371,13546,13198,13373,13548 | 20.5     |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 2262144    | 6210.31  | 7477.17                      | 6   | 34791,34980,35169,34793,34982,35171 | 20.4     |
| 24  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | decrease  | desc        | desc       | 8          | 1.83     | 2.2                          | 6   | 51073,51262,51451,51075,51264,51453 | 20.22    |
| 18  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 1          | 1.21     | 1.45                         | 6   | 37444,37633,37822,37446,37635,37824 | 19.83    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 64         | 2.92     | 3.49                         | 6   | 11068,11243,11418,11070,11245,11420 | 19.52    |
| 15  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | asc         | asc        | 128        | 2.6      | 3.1                          | 6   | 31004,31207,31410,31006,31209,31412 | 19.23    |
| 18  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | desc       | 8          | 3.22     | 3.81                         | 6   | 38599,38788,38977,38601,38790,38979 | 18.32    |
| 8   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 256        | 3.18     | 3.76                         | 6   | 15282,15457,15632,15284,15459,15634 | 18.24    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 1262144    | 3638.4   | 4288.89                      | 6   | 43268,43457,43646,43270,43459,43648 | 17.88    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 1512144    | 4373.56  | 5152.41                      | 6   | 43275,43464,43653,43277,43466,43655 | 17.81    |
| 24  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 1          | 0.9      | 1.06                         | 6   | 52186,52375,52564,52188,52377,52566 | 17.78    |
| 23  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | decrease  | asc         | asc        | 1          | 0.96     | 1.13                         | 6   | 49351,49540,49729,49353,49542,49731 | 17.71    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 128        | 1.47     | 1.73                         | 4   | 53936,54125,53938,54127             | 17.69    |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | desc        | asc        | 4096       | 5.12     | 6.02                         | 6   | 27385,27588,27791,27387,27590,27793 | 17.58    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 253036     | 961.64   | 1130.34                      | 6   | 8534,8709,8884,8536,8711,8886       | 17.54    |
| 21  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1          | 0.86     | 1.01                         | 6   | 44248,44437,44626,44250,44439,44628 | 17.44    |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | desc        | asc        | 8192       | 7.97     | 9.35                         | 6   | 27392,27595,27798,27394,27597,27800 | 17.31    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 262144     | 774.92   | 909.02                       | 6   | 43240,43429,43618,43242,43431,43620 | 17.31    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 315536     | 1241.59  | 1453.62                      | 6   | 8541,8716,8891,8543,8718,8893       | 17.08    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | desc        | asc        | 4096       | 36.34    | 42.49                        | 6   | 10585,10760,10935,10587,10762,10937 | 16.92    |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | desc        | desc       | 512        | 2.74     | 3.19                         | 6   | 29191,29394,29597,29193,29396,29599 | 16.42    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 32         | 1.89     | 2.2                          | 6   | 26118,26321,26524,26120,26323,26526 | 16.4     |
| 18  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 8          | 3.48     | 4.05                         | 6   | 37465,37654,37843,37467,37656,37845 | 16.38    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 1          | 1.11     | 1.29                         | 4   | 53887,54076,53889,54078             | 16.22    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 512        | 2.54     | 2.95                         | 6   | 25537,25740,25943,25539,25742,25945 | 16.14    |
| 21  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 2          | 0.93     | 1.08                         | 6   | 44255,44444,44633,44257,44446,44635 | 16.13    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 1762144    | 5003.5   | 5809.96                      | 6   | 34777,34966,35155,34779,34968,35157 | 16.12    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | desc       | 512        | 6.1      | 7.08                         | 6   | 13189,13364,13539,13191,13366,13541 | 16.07    |
| 8   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 128        | 2.37     | 2.75                         | 6   | 15275,15450,15625,15277,15452,15627 | 16.03    |
| 19  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | asc        | 16         | 5.19     | 6.02                         | 6   | 40307,40496,40685,40309,40498,40687 | 15.99    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 1          | 1.38     | 1.6                          | 6   | 11026,11201,11376,11028,11203,11378 | 15.94    |
| 8   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 64         | 2.01     | 2.33                         | 6   | 15268,15443,15618,15270,15445,15620 | 15.92    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 8192       | 12.92    | 14.94                        | 6   | 52844,53033,53222,52846,53035,53224 | 15.63    |
