+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+------------------------------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz  | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values |  master  | patched-geoghegan-2-munro-3ded1b78 | cnt |                 qid                 | pct_diff |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | desc        | asc        | 8192       | 7.97     | 9.46                               | 6   | 27392,27595,27798,27395,27598,27801 | 18.7     |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 4048576    | 1481.49  | 1750.73                            | 6   | 26244,26447,26650,26247,26450,26653 | 18.17    |
| 2   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 512        | 5.64     | 6.65                               | 6   | 3214,3389,3564,3217,3392,3567       | 17.91    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 5048576    | 1846.97  | 2172.6                             | 6   | 34168,34371,34574,34171,34374,34577 | 17.63    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 1048576    | 386.27   | 454.08                             | 6   | 32922,33125,33328,32925,33128,33331 | 17.56    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 5048576    | 1814.91  | 2133.34                            | 6   | 32950,33153,33356,32953,33156,33359 | 17.55    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | asc        | 128        | 2.19     | 2.57                               | 6   | 32222,32425,32628,32225,32428,32631 | 17.35    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 64         | 1.57     | 1.84                               | 6   | 53362,53551,53740,53365,53554,53743 | 17.2     |
| 15  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | asc         | desc       | 8192       | 8.07     | 9.43                               | 6   | 30437,30640,30843,30440,30643,30846 | 16.85    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 128        | 1.91     | 2.23                               | 6   | 26132,26335,26538,26135,26338,26541 | 16.75    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 32768      | 16.05    | 18.71                              | 6   | 32887,33090,33293,32890,33093,33296 | 16.57    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 4048576    | 1467.5   | 1710.26                            | 6   | 25026,25229,25432,25029,25232,25435 | 16.54    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 16         | 1.58     | 1.84                               | 6   | 25502,25705,25908,25505,25708,25911 | 16.46    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 2048576    | 768.94   | 895.45                             | 6   | 34147,34350,34553,34150,34353,34556 | 16.45    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 524288     | 197.94   | 230.35                             | 6   | 32915,33118,33321,32918,33121,33324 | 16.37    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 131072     | 53.99    | 62.83                              | 6   | 32901,33104,33307,32904,33107,33310 | 16.37    |
| 23  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | decrease  | asc         | asc        | 16         | 2.96     | 3.43                               | 6   | 49379,49568,49757,49382,49571,49760 | 15.88    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 2262144    | 6210.31  | 7195.17                            | 6   | 34791,34980,35169,34794,34983,35172 | 15.86    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 2048       | 3.37     | 3.9                                | 6   | 32859,33062,33265,32862,33065,33268 | 15.73    |
| 18  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 1          | 1.21     | 1.4                                | 6   | 37444,37633,37822,37447,37636,37825 | 15.7     |
| 8   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 315536     | 1232.9   | 1421.33                            | 6   | 16416,16591,16766,16419,16594,16769 | 15.28    |
| 8   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 565536     | 2150.43  | 2478.61                            | 6   | 16444,16619,16794,16447,16622,16797 | 15.26    |
| 8   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 1          | 1.05     | 1.21                               | 6   | 15226,15401,15576,15229,15404,15579 | 15.24    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 6048576    | 2222.31  | 2559.5                             | 6   | 34175,34378,34581,34178,34381,34584 | 15.17    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 131072     | 54.29    | 62.51                              | 6   | 24984,25187,25390,24987,25190,25393 | 15.14    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 2048       | 5.18     | 5.96                               | 6   | 25551,25754,25957,25554,25757,25960 | 15.06    |
| 11  | 100        | 10000000 | 312500    | 93458    | 64     | 2     | 32   | io_uring | 12        | 16  | decrease  | asc         | asc        | 8          | 1.95     | 2.24                               | 6   | 21862,22030,22198,21865,22033,22201 | 14.87    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 8192       | 12.92    | 14.83                              | 6   | 52844,53033,53222,52847,53036,53225 | 14.78    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 256        | 2.6      | 2.98                               | 6   | 53376,53565,53754,53379,53568,53757 | 14.62    |
| 8   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 440536     | 1712.88  | 1960.53                            | 6   | 16430,16605,16780,16433,16608,16783 | 14.46    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 32768      | 115.46   | 131.96                             | 6   | 35848,36037,36226,35851,36040,36229 | 14.29    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 4048576    | 1500.4   | 1713.1                             | 6   | 32943,33146,33349,32946,33149,33352 | 14.18    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 762144     | 2210.52  | 2521.83                            | 6   | 34749,34938,35127,34752,34941,35130 | 14.08    |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | desc        | asc        | 512        | 2.56     | 2.92                               | 6   | 27364,27567,27770,27367,27570,27773 | 14.06    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 762144     | 2353.74  | 2683.53                            | 6   | 43254,43443,43632,43257,43446,43635 | 14.01    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 64         | 9.79     | 11.16                              | 6   | 43156,43345,43534,43159,43348,43537 | 13.99    |
| 19  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | asc        | 16         | 5.19     | 5.91                               | 6   | 40307,40496,40685,40310,40499,40688 | 13.87    |
| 22  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 4          | 1.52     | 1.73                               | 6   | 46530,46719,46908,46533,46722,46911 | 13.82    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | desc        | asc        | 2048576    | 3174.72  | 3612.39                            | 6   | 33538,33741,33944,33541,33744,33947 | 13.79    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 16         | 1.83     | 2.08                               | 6   | 34028,34231,34434,34031,34234,34437 | 13.66    |
| 8   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 32768      | 135.05   | 153.26                             | 6   | 16381,16556,16731,16384,16559,16734 | 13.48    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 131072     | 430.68   | 488.71                             | 6   | 43233,43422,43611,43236,43425,43614 | 13.47    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 65536      | 261.48   | 296.63                             | 6   | 9563,9738,9913,9566,9741,9916       | 13.44    |
