+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------+------------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages | fuzz | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-43ff7415 | patched-munro-728899ba | cnt |                 qid                 |   diff   | pct_diff |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 128036     | 961.46                     | 1000.89                | 6   | 5899,6074,6249,5901,6076,6251       | 39.43    | 4.1      |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | decrease  | desc        | asc        | 157768     | 2377.82                    | 2416.9                 | 6   | 22986,23154,23322,22988,23156,23324 | 39.08    | 1.64     |
| 10  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | desc        | asc        | 189018     | 2935.05                    | 2973.31                | 6   | 19969,20137,20305,19971,20139,20307 | 38.26    | 1.3      |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | desc        | asc        | 262144     | 173.34                     | 210.02                 | 6   | 27431,27634,27837,27433,27636,27839 | 36.68    | 21.16    |
| 8   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 128036     | 509.21                     | 545.25                 | 6   | 16399,16574,16749,16401,16576,16751 | 36.04    | 7.08     |
| 2   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 128036     | 960.23                     | 994.68                 | 6   | 3274,3449,3624,3276,3451,3626       | 34.45    | 3.59     |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | desc        | asc        | 95268      | 1639.35                    | 1673.54                | 6   | 23980,24148,24316,23982,24150,24318 | 34.19    | 2.09     |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | decrease  | desc        | asc        | 95268      | 1454.44                    | 1486.21                | 6   | 22972,23140,23308,22974,23142,23310 | 31.77    | 2.18     |
| 4   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 440536     | 1184.49                    | 1215.97                | 6   | 6984,7159,7334,6986,7161,7336       | 31.48    | 2.66     |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 262144     | 117.3                      | 148.78                 | 6   | 24995,25198,25401,24997,25200,25403 | 31.48    | 26.84    |
| 9   | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | asc         | asc        | 220268     | 1665.08                    | 1696.27                | 6   | 17960,18128,18296,17962,18130,18298 | 31.19    | 1.87     |
