+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------------+----------------------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages | fuzz | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-2-3ded1b78 | patched-geoghegan-munro-43ff7415 | cnt |                 qid                 |   diff   | pct_diff |
| 4   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 378036     | 1235.29                      | 1276.88                          | 6   | 8025,8200,8375,8028,8203,8378       | 41.59    | 3.37     |
| 8   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 315536     | 1290.3                       | 1330.59                          | 6   | 16418,16593,16768,16421,16596,16771 | 40.29    | 3.12     |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 315536     | 2624.86                      | 2664.23                          | 6   | 14318,14493,14668,14321,14496,14671 | 39.37    | 1.5      |
| 1   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 503036     | 1333.77                      | 1372.87                          | 6   | 164,339,514,167,342,517             | 39.1     | 2.93     |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 440536     | 3580.18                      | 3618.19                          | 6   | 11707,11882,12057,11710,11885,12060 | 38.01    | 1.06     |
| 11  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | decrease  | asc         | desc       | 189018     | 2602.68                      | 2640.65                          | 6   | 21479,21647,21815,21482,21650,21818 | 37.97    | 1.46     |
| 11  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | asc         | desc       | 157768     | 2477.84                      | 2515.6                           | 6   | 22480,22648,22816,22483,22651,22819 | 37.76    | 1.52     |
| 9   | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | increase  | asc         | asc        | 251518     | 1647.26                      | 1685.01                          | 6   | 16957,17125,17293,16960,17128,17296 | 37.75    | 2.29     |
| 10  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | increase  | desc        | asc        | 220268     | 3029.71                      | 3066.71                          | 6   | 18966,19134,19302,18969,19137,19305 | 37.0     | 1.22     |
| 1   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 253036     | 829.42                       | 864.18                           | 6   | 1186,1361,1536,1189,1364,1539       | 34.76    | 4.19     |
| 4   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 440536     | 3205.01                      | 3238.72                          | 6   | 6457,6632,6807,6460,6635,6810       | 33.71    | 1.05     |
| 1   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 503036     | 1653.5                       | 1686.83                          | 6   | 1214,1389,1564,1217,1392,1567       | 33.33    | 2.02     |
| 4   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 378036     | 2739.35                      | 2772.66                          | 6   | 6450,6625,6800,6453,6628,6803       | 33.31    | 1.22     |
| 10  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | increase  | desc        | asc        | 282768     | 3908.79                      | 3942.1                           | 6   | 18980,19148,19316,18983,19151,19319 | 33.31    | 0.85     |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 565536     | 4336.01                      | 4368.12                          | 6   | 5946,6121,6296,5949,6124,6299       | 32.11    | 0.74     |
| 8   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 253036     | 1072.52                      | 1104.55                          | 6   | 16411,16586,16761,16414,16589,16764 | 32.03    | 2.99     |
| 10  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | desc        | asc        | 220268     | 3448.16                      | 3479.55                          | 6   | 19974,20142,20310,19977,20145,20313 | 31.39    | 0.91     |
| 9   | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | asc         | desc       | 251518     | 4324.55                      | 4355.87                          | 6   | 18469,18637,18805,18472,18640,18808 | 31.32    | 0.72     |
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 128036     | 511.33                       | 542.33                           | 6   | 9572,9747,9922,9575,9750,9925       | 31.0     | 6.06     |
| 9   | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | increase  | asc         | asc        | 189018     | 1222.77                      | 1252.91                          | 6   | 16943,17111,17279,16946,17114,17282 | 30.14    | 2.46     |
| 4   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 565536     | 1820.96                      | 1850.6                           | 6   | 8046,8221,8396,8049,8224,8399       | 29.64    | 1.63     |
