+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------+----------------------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages | fuzz | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-43ff7415 | patched-geoghegan-munro-43ff7415 | cnt |                 qid                 |   diff   | pct_diff |
| 9   | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | increase  | asc         | asc        | 282768     | 1812.32                    | 1875.53                          | 6   | 16966,17134,17302,16967,17135,17303 | 63.21    | 3.49     |
| 1   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 565536     | 1825.28                    | 1887.88                          | 6   | 1223,1398,1573,1224,1399,1574       | 62.6     | 3.43     |
| 9   | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | asc         | asc        | 157768     | 1181.59                    | 1242.22                          | 6   | 17946,18114,18282,17947,18115,18283 | 60.63    | 5.13     |
| 9   | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | asc         | desc       | 157768     | 2692.53                    | 2750.8                           | 6   | 18450,18618,18786,18451,18619,18787 | 58.27    | 2.16     |
| 9   | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | asc         | asc        | 95268      | 707.69                     | 763.07                           | 6   | 17932,18100,18268,17933,18101,18269 | 55.38    | 7.83     |
| 8   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 565536     | 2205.04                    | 2260.26                          | 6   | 16448,16623,16798,16449,16624,16799 | 55.22    | 2.5      |
| 2   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 190536     | 1422.43                    | 1476.69                          | 6   | 3281,3456,3631,3282,3457,3632       | 54.26    | 3.81     |
| 4   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 503036     | 1316.17                    | 1369.0                           | 6   | 6991,7166,7341,6992,7167,7342       | 52.83    | 4.01     |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 128036     | 1024.43                    | 1077.13                          | 6   | 11674,11849,12024,11675,11850,12025 | 52.7     | 5.14     |
| 4   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | desc        | asc        | 503036     | 3830.83                    | 3878.08                          | 6   | 7516,7691,7866,7517,7692,7867       | 47.25    | 1.23     |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 253036     | 1887.17                    | 1933.9                           | 6   | 5913,6088,6263,5914,6089,6264       | 46.73    | 2.48     |
| 1   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 565536     | 1490.15                    | 1536.03                          | 6   | 173,348,523,174,349,524             | 45.88    | 3.08     |
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 128036     | 497.65                     | 542.33                           | 6   | 9574,9749,9924,9575,9750,9925       | 44.68    | 8.98     |
| 9   | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | asc         | asc        | 220268     | 1665.08                    | 1708.09                          | 6   | 17960,18128,18296,17961,18129,18297 | 43.01    | 2.58     |
| 1   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 503036     | 3658.89                    | 3700.15                          | 6   | 691,866,1041,692,867,1042           | 41.26    | 1.13     |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 128036     | 1013.88                    | 1054.75                          | 6   | 14299,14474,14649,14300,14475,14650 | 40.87    | 4.03     |
| 4   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 440536     | 3198.28                    | 3238.72                          | 6   | 6459,6634,6809,6460,6635,6810       | 40.44    | 1.26     |
| 10  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | desc        | asc        | 95268      | 1471.88                    | 1511.53                          | 6   | 19948,20116,20284,19949,20117,20285 | 39.65    | 2.69     |
| 10  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | desc        | asc        | 189018     | 2935.05                    | 2974.34                          | 6   | 19969,20137,20305,19970,20138,20306 | 39.29    | 1.34     |
| 10  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | desc        | desc       | 282768     | 3045.94                    | 3084.9                           | 6   | 20494,20662,20830,20495,20663,20831 | 38.96    | 1.28     |
| 10  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | desc        | asc        | 126518     | 1965.56                    | 2004.45                          | 6   | 19955,20123,20291,19956,20124,20292 | 38.89    | 1.98     |
| 11  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | asc         | asc        | 220268     | 2369.19                    | 2407.58                          | 6   | 21992,22160,22328,21993,22161,22329 | 38.39    | 1.62     |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | desc        | desc       | 251518     | 1977.63                    | 2015.27                          | 6   | 24519,24687,24855,24520,24688,24856 | 37.64    | 1.9      |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | decrease  | desc        | desc       | 189018     | 1321.69                    | 1358.79                          | 6   | 23497,23665,23833,23498,23666,23834 | 37.1     | 2.81     |
| 9   | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | increase  | asc         | asc        | 157768     | 1021.18                    | 1057.96                          | 6   | 16938,17106,17274,16939,17107,17275 | 36.78    | 3.6      |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | decrease  | desc        | asc        | 157768     | 2377.82                    | 2413.22                          | 6   | 22986,23154,23322,22987,23155,23323 | 35.4     | 1.49     |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 65536      | 520.25                     | 554.15                           | 6   | 11667,11842,12017,11668,11843,12018 | 33.9     | 6.52     |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | desc        | asc        | 251518     | 4310.5                     | 4343.24                          | 6   | 24015,24183,24351,24016,24184,24352 | 32.74    | 0.76     |
| 9   | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | asc         | desc       | 251518     | 4323.38                    | 4355.87                          | 6   | 18471,18639,18807,18472,18640,18808 | 32.49    | 0.75     |
